id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,room_type,host_is_superhost,price,occupancy_rate,review_scores_rating,availability_365,has_price
1444992948229533866,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49233,13.39381,Entire home/apt,No,130.0,3.6,5.0,162,True
1445078174945745652,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.512153574353306,13.459401950240135,Private room,Unknown,30.0,0.0,,281,True
1445102008696764272,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.52113,13.32632,Entire home/apt,No,193.0,0.0,,43,True
1445648768249611347,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49258691517179,13.395323419799729,Entire home/apt,No,137.0,3.6,4.0,323,True
1445668833586900235,Mitte,Regierungsviertel,52.5129993,13.4029423,Private room,No,,0.0,,76,False
1445668833818929312,Mitte,Regierungsviertel,52.5129993,13.4029423,Private room,No,,69.9,4.76,95,False
1445668902426048638,Mitte,Regierungsviertel,52.5129993,13.4029423,Private room,No,,3.6,5.0,98,False
1445668907885022991,Mitte,Regierungsviertel,52.513,13.40294,Private room,No,,0.0,,86,False
1446162645468173676,Charlottenburg-Wilm.,Otto-Suhr-Allee,52.51329,13.3019,Private room,No,43.0,10.4,4.67,316,True
1446290823995854476,Charlottenburg-Wilm.,Westend,52.51566676720579,13.264884168332967,Entire home/apt,No,169.0,0.0,,345,True
1446296998073917649,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50572529999999,13.3803103,Entire home/apt,No,99.0,0.0,,277,True
1446304857132035426,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50573,13.38031,Entire home/apt,No,57.0,0.0,,313,True
1446375155008874247,Mitte,Alexanderplatz,52.50875,13.42141,Entire home/apt,No,59.0,0.0,,232,True
1446861918532076953,Mitte,Osloer Straße,52.5575926,13.3780301,Entire home/apt,Yes,66.0,0.0,,360,True
1446862242596527946,Mitte,Parkviertel,52.5538043,13.3455871,Entire home/apt,Yes,51.0,0.0,,69,True
1446993798027111825,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.48989662660223,13.48255946137694,Entire home/apt,No,82.0,48.2,5.0,191,True
1447107322777224313,Neukölln,Schillerpromenade,52.47424,13.42694,Entire home/apt,No,138.0,3.6,5.0,43,True
1447234834584765429,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,52.50716760694165,13.46763163805008,Private room,No,69.0,0.0,,305,True
1447631692937562533,Mitte,Alexanderplatz,52.5167261,13.4254443,Shared room,No,32.0,3.6,4.0,351,True
1447691207388146236,Tempelhof - Schöneberg,Schöneberg-Süd,52.4883573,13.3531744,Entire home/apt,No,120.0,31.0,5.0,130,True
1447700264305408621,Mitte,Parkviertel,52.54894047956392,13.353296508238753,Entire home/apt,Unknown,81.0,3.6,5.0,257,True
1447717180440055424,Tempelhof - Schöneberg,Schöneberg-Süd,52.48122,13.3601,Entire home/apt,Unknown,78.0,17.3,4.4,288,True
1447726909806697560,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.5026337,13.3887094,Entire home/apt,Yes,240.0,44.9,4.77,332,True
1447741031501213418,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50578,13.3955,Private room,No,77.0,48.2,5.0,2,True
1447744576132998818,Mitte,Brunnenstr. Süd,52.53534,13.40116,Entire home/apt,No,156.0,0.0,,358,True
1447764956217274272,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.4941,13.43762,Entire home/apt,No,70.0,0.0,,266,True
1447814507422552057,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50425684825859,13.397449914546442,Private room,No,70.0,34.5,4.9,1,True
1448358565723701384,Mitte,Moabit Ost,52.52152,13.34706,Entire home/apt,No,116.0,38.1,4.64,297,True
1448361400996694250,Mitte,Moabit Ost,52.5214,13.34683,Entire home/apt,No,95.0,38.1,4.91,289,True
1448390225115145160,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.48352,13.33143,Entire home/apt,No,101.0,10.4,5.0,352,True
1448407515754441769,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4923355,13.4183634,Entire home/apt,Yes,69.0,0.0,,84,True
1448490385212738873,Spandau,Brunsbütteler Damm,52.53016,13.14871,Private room,No,111.0,0.0,,355,True
1448570861813603322,Steglitz - Zehlendorf,Drakestr.,52.4447425,13.3152481,Entire home/apt,Yes,160.0,31.0,4.89,359,True
1448709476321062985,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.51571,13.46891,Entire home/apt,No,127.0,3.6,5.0,340,True
1449041923349796909,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50476,13.38067,Entire home/apt,No,,0.0,,142,False
1449110128560628601,Pankow,Weißensee,52.55714,13.46485,Entire home/apt,No,137.0,13.7,3.25,337,True
1449133876809938774,Mitte,Parkviertel,52.55307,13.3393,Private room,No,33.0,0.0,,365,True
1449196751799913905,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,52.50574,13.39717,Private room,No,,31.0,5.0,0,False
1449703603348267279,Mitte,Brunnenstr. Süd,52.53201,13.40099,Entire home/apt,No,95.0,58.6,4.94,134,True
1449841083340421841,Charlottenburg-Wilm.,Volkspark Wilmersdorf,52.48772,13.32261,Entire home/apt,Yes,274.0,13.7,4.75,257,True
1449854077925392642,Charlottenburg-Wilm.,Westend,52.5097937077428,13.280735984444618,Private room,Yes,59.0,6.8,5.0,164,True
1449986478717492581,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.52238,13.45546,Entire home/apt,No,68.0,0.0,,191,True
1450005593886253694,Pankow,Weißensee,52.55500984025382,13.429710750887248,Entire home/apt,No,215.0,27.7,4.75,326,True
1450074869217239183,Spandau,Brunsbütteler Damm,52.5310796,13.1492575,Private room,No,69.0,0.0,,355,True
1450092221504273469,Spandau,Brunsbütteler Damm,52.53146,13.15033,Private room,No,93.0,0.0,,355,True
1450100519007085433,Spandau,Brunsbütteler Damm,52.53201,13.14811,Entire home/apt,No,186.0,0.0,,355,True
1450489753512188166,Treptow - Köpenick,Alt  Treptow,52.48877014508257,13.443951457147207,Entire home/apt,No,108.0,13.7,5.0,1,True
1450542770518072471,Charlottenburg-Wilm.,Grunewald,52.48629099999999,13.2698006,Entire home/apt,No,80.0,17.3,4.8,267,True
1450669451820519013,Mitte,Alexanderplatz,52.51208,13.40862,Private room,No,,0.0,,102,False
1450669451954948668,Mitte,Alexanderplatz,52.5120785,13.4086173,Private room,No,,3.6,4.0,94,False
1450669537172165196,Mitte,Alexanderplatz,52.51208,13.40862,Private room,No,,0.0,,87,False
1450687513461157461,Neukölln,Reuterstraße,52.48551,13.42831,Private room,No,60.0,3.6,5.0,357,True
1450767659001804563,Treptow - Köpenick,Johannisthal,52.4412898,13.5057411,Entire home/apt,Yes,710.0,0.0,,304,True
1450790721151886547,Reinickendorf,West 5,52.58643,13.27639,Entire home/apt,No,203.0,5.5,5.0,118,True
1450822247299799821,Neukölln,Britz,52.4418465,13.467127,Entire home/apt,No,56.0,0.0,,87,True
1451175999802996102,Mitte,Parkviertel,52.55213699999999,13.3413151,Entire home/apt,Yes,52.0,50.4,2.0,265,True
1451264314687524152,Mitte,Parkviertel,52.55213699999999,13.3413151,Entire home/apt,Yes,51.0,0.0,,296,True
1451358647625229829,Pankow,Prenzlauer Berg Süd,52.53158942581857,13.441413715481758,Entire home/apt,No,44.0,0.0,,208,True
1451440163814430465,Mitte,Osloer Straße,52.55293648410394,13.385622353089284,Entire home/apt,No,60.0,0.0,,358,True
